iter	Passed	Remaining
0	3	3379
1	7	3618
2	11	3694
3	15	3970
4	20	4142
5	25	4174
6	29	4208
7	35	4395
8	39	4331
9	43	4270
10	47	4288
11	53	4383
12	58	4405
13	62	4376
14	66	4392
15	72	4442
16	77	4457
17	82	4497
18	86	4463
19	90	4445
20	95	4464
21	101	4495
22	105	4482
23	110	4479
24	141	5512
25	154	5800
26	163	5874
27	169	5885
28	174	5850
29	180	5841
30	185	5798
31	189	5729
32	192	5653
33	197	5613
34	201	5562
35	205	5495
36	208	5431
37	214	5423
38	218	5372
39	221	5314
40	225	5271
41	231	5276
42	235	5243
43	240	5220
44	245	5201
45	249	5174
46	253	5134
47	257	5107
48	262	5092
49	266	5062
50	270	5033
51	274	5003
52	278	4981
53	282	4945
54	285	4909
55	289	4884
56	294	4869
57	298	4841
58	301	4811
59	305	4786
60	310	4772
61	314	4754
62	318	4735
63	321	4708
64	326	4696
65	330	4675
66	334	4655
67	337	4631
68	343	4638
69	348	4626
70	351	4604
71	355	4583
72	360	4578
73	364	4567
74	368	4548
75	373	4542
76	378	4537
77	382	4519
78	386	4504
79	390	4496
80	395	4487
81	399	4473
82	403	4458
83	408	4450
84	412	4445
85	416	4429
86	420	4411
87	424	4402
88	429	4398
89	434	4395
90	439	4388
91	444	4389
92	448	4378
93	452	4363
94	457	4357
95	461	4347
96	466	4341
97	471	4339
98	475	4328
99	479	4314
100	483	4300
101	487	4293
102	491	4281
103	495	4269
104	499	4254
105	504	4253
106	508	4243
107	512	4232
108	516	4226
109	521	4222
110	525	4210
111	530	4202
112	535	4204
113	539	4194
114	544	4188
115	548	4178
116	554	4181
117	558	4173
118	562	4163
119	566	4156
120	571	4148
121	574	4136
122	578	4126
123	583	4119
124	587	4110
125	591	4100
126	594	4089
127	599	4084
128	604	4079
129	608	4071
130	612	4062
131	617	4062
132	621	4051
133	625	4041
134	629	4033
135	634	4028
136	638	4019
137	642	4010
138	646	4005
139	651	4003
140	656	3996
141	660	3989
142	664	3982
143	668	3972
144	672	3964
145	676	3955
146	680	3946
147	684	3940
148	688	3932
149	692	3925
150	697	3921
151	702	3918
152	706	3909
153	709	3899
154	715	3899
155	719	3892
156	723	3882
157	727	3875
158	732	3873
159	737	3872
160	742	3867
161	747	3864
162	751	3861
163	755	3852
164	759	3842
165	763	3837
